,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Report"" for : ANDAMAN AND NICOBAR ISLANDS for year 2024-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Year,2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top View,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Type,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No,STATE,DISTRICT,ASSESSMENT UNIT,Rainfall (mm),,,,Total Geographical Area (ha),,,,,,Ground Water Recharge (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflows and Outflows (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Ground water Recharge (ham),,,,Environmental Flows (ham),,,,Annual Extractable Ground water Resource (ham),,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,Stage of Ground Water Extraction (%),,,,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),,,,Net Annual Ground Water Availability for Future Use (ham),,,,Quality Tagging,,,,,,Additional Potential Resources Under Specific Conditions(ham),,,Coastal Areas,,,,In-Storage Unconfined Ground Water Resources(ham),,Total Ground Water Availability in Unconfined Aquifier (ham),,Dynamic Confined Ground Water Resources(ham),,In-Storage Confined Ground Water Resources(ham),,Total Confined Ground Water Resources (ham),,Dynamic Semi Confined Ground Water Resources (ham),,In-Storage Semi Confined Ground Water Resources (ham),,Total Semi-Confined Ground Water Resources (ham),,Total Ground Water Availability in the area (ham),
,,,,,,,,Recharge Worthy Area (ha),,,,Hilly Area,Total,Rainfall Recharge,,,,Canals,,,,Surface Water Irrigation,,,,Ground Water Irrigation,,,,Tanks and Ponds,,,,Water Conservation Structure,,,,Pipelines,,,,Sewages and Flash Flood Channels,,,,C,NC,PQ,Total,Base Flow,,,,Stream Recharges,,,,Lateral Flows,,,,Vertical Flows,,,,Evaporation,,,,Transpiration,,,,Evapotranspiration,,,,C,NC,PQ,Total,,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,Major Parameter Present,,,Other Parameters Present,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,RAJASTHAN,JHALAWAR,,965,980,0,979,32062,577564,0,609626,24096,633722,1738,38945,0,40683,9,,,9,734,0,0,734,1763,11288,0,13051,2904,1709,,4613,0,0,0,0,,,,,,,,,7148,51942,0,59091,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7148,51942,0,59091,567,4988,0,5555,6582,46954,0,53536,1037,3164,,4201,0,0,,0,6625,45884,,52508,7662,49048,,56710,116,104,,106,1037,3164,0,4201,1351,5566,0,6917,,,,,,,0,0,0,,,,,0,0,53536,0,0,,0,,0,,,,,,,,53536,0
536,RAJASTHAN,JHUNJHUNU,,0,507,496,507,0,527369,11978,539347,49237,588584,0,22871,475,23346,0,,0,0,0,0,0,0,0,1765,5,1770,0,0,0,0,0,294,0,294,,,,,,,,,0,24929,480,25409,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24929,480,25409,0,2493,48,2541,0,22436,432,22868,,15195,63,15258,,564,0,564,,35294,98,35392,,51053,161,51213,,228,37,228,0,15195,63,15195,0,0,271,0,,,,,,,0,0,0,,,,,0,0,22436,432,0,,0,,0,,,,,,,,22436,432
537,RAJASTHAN,JODHPUR,,0,326,349,330,0,1853131,365841,2218972,6028,2225000,0,37628,9773,47402,0,,0,0,0,0,0,0,0,4042,22,4063,0,60,0,60,0,0,0,0,,,,,,,,,0,41730,9795,51525,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41730,9795,51525,0,3651,980,4631,0,38079,8816,46894,,15817,221,16038,,678,130,807,,80593,294,80887,,97088,645,97733,,255,7,255,0,15817,221,15817,0,185,8171,185,,,,,,,0,0,0,,,,,0,0,38079,8816,0,,0,,0,,,,,,,,38079,8816
538,RAJASTHAN,KARAULI,,711,716,0,716,29455,360787,0,390242,177048,567290,2558,28058,0,30615,,,,,0,0,0,0,839,3232,0,4071,58,233,,291,1,1348,,1349,,,,,,,,,3456,32870,0,36326,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3456,32870,0,36326,346,3287,0,3633,3110,29583,0,32693,416,5165,,5582,0,0,,0,4947,38345,,43292,5364,43510,,48874,172,147,,149,416,5165,0,5582,0,2076,0,2076,,,,,,,0,0,0,,,,,0,0,32693,0,0,,0,,0,,,,,,,,32693,0
539,RAJASTHAN,KOTA,,795,851,0,827,215015,297302,0,512317,8077,520394,13653,15297,0,28950,51,,,51,12459,0,0,12459,4630,5695,0,10324,132,549,,681,0,0,0,0,0,0,0,0,0,0,0,0,30924,21541,0,52465,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30924,21541,0,52465,3092,2154,0,5247,27832,19387,0,47219,5054,4942,,9995,0,181,,181,19635,22595,,42231,24689,27718,,52407,89,143,,111,5054,4942,0,9995,3963,5,0,3968,,,,,,,0,0,0,,,,,0,0,47219,0,0,,0,,0,,,,,,,,47219,0
540,RAJASTHAN,NAGAUR,,0,443,451,443,0,1640364,131462,1771826,0,1771826,0,60053,5885,65938,0,,0,0,0,0,0,0,0,4687,279,4966,0,0,0,0,0,0,0,0,,,,,,,,,0,64740,6164,70904,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,64740,6164,70904,0,6081,616,6697,0,58659,5547,64207,,14938,643,15581,,1148,10,1157,,93745,2728,96473,,109831,3381,113211,,187,61,187,0,14938,643,14938,0,240,2495,240,,,,,,,,,,,,,,0,0,58659,5547,0,,0,,0,,,,,,,,58659,5547
541,RAJASTHAN,PALI,,616,569,500,550,55040,681214,318885,1055139,180561,1235700,2495,27075,10950,40521,,,,,323,872,1300,2496,92,4000,249,4341,,,,,,240,,240,,,,,,,,,2912,32188,12499,47598,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2912,32188,12499,47598,291,3219,1232,4742,2621,28969,11266,42856,110,4556,249,4914,0,21,1,22,1025,44301,3641,48968,1135,48878,3891,53904,43,169,35,158,110,4556,249,4666,1485,470,7990,1955,,,,,,,0,0,0,,,,,0,0,31589,11266,0,,0,,0,,,,,,,,31589,11266
542,RAJASTHAN,PRATAPGARH,,875,1061,0,1039,34500,260539,0,295039,140941,435980,912,14737,0,15650,206,,0,206,67,1392,0,1459,206,5073,0,5278,0,856,0,856,,,,,,,,,,,,,1391,22058,0,23448,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,1391,22058,0,23448,139,2206,0,2345,1251,19852,0,21103,139,559,,698,0,19,,19,1093,25449,,26543,1232,26027,,27260,98,131,,129,139,559,0,698,19,948,0,967,,,,,,,0,0,0,,,,,0,0,21103,0,0,,0,,0,,,,,,,,21103,0
543,RAJASTHAN,RAJSAMAND,,645,644,0,644,25734,328275,0,354009,109537,463546,501,8303,0,8805,0,,0,0,168,417,0,585,159,1011,0,1170,741,600,0,1341,78,531,,609,,,,,,,,,1648,10863,0,12511,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,1648,10863,0,12511,165,1086,0,1251,1483,9777,0,11260,251,2376,,2627,0,392,,392,912,9656,,10568,1163,12424,,13587,78,127,,121,251,2376,0,2627,380,260,0,640,,,,,,,0,0,0,,,,,0,0,11260,0,0,,0,,0,,,,,,,,11260,0
544,RAJASTHAN,SAWAI MADHOPUR,,684,790,0,777,50498,382352,0,432850,69215,502065,4287,29149,0,33436,,,,,0,0,0,0,1466,10004,0,11470,255,1069,,1325,2,137,,139,,,,,,,,,6010,40359,0,46369,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6010,40359,0,46369,601,4036,0,4637,5409,36323,0,41732,1327,6524,,7850,0,0,,0,7898,47729,,55628,9225,54253,,63478,171,149,,152,1327,6524,0,7850,0,0,0,0,,,,,,,0,0,0,,,,,0,0,41732,0,0,,0,,0,,,,,,,,41732,0
545,RAJASTHAN,SIKAR,,0,521,476,521,0,726346,9346,735692,52393,788085,0,33667,354,34021,0,,0,0,0,0,0,0,0,2589,0,2589,0,2314,0,2314,0,0,0,0,,,,,,,,,0,38570,354,38925,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38570,354,38925,0,3643,35,3678,0,34927,319,35246,,14829,0,14829,,221,0,221,,51782,133,51915,,66832,133,66965,,191,42,191,0,14829,0,14829,0,790,185,790,,,,,,,0,0,0,,,,,0,0,34927,319,0,,0,,0,,,,,,,,34927,319
546,RAJASTHAN,SIROHI,,0,669,0,669,0,407570,0,407570,106030,513600,0,25978,0,25978,,,,,0,0,0,0,0,4532,0,4532,,,,,0,504,0,504,,,,,,,,,0,31013,0,31013,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31013,0,31013,0,3101,0,3101,0,27912,0,27912,,1986,,1986,,348,,348,,30964,,30964,,33298,,33298,,119,,119,0,1986,0,1986,0,602,0,602,,,,,,,0,0,0,,,,,0,0,27912,0,0,,0,,0,,,,,,,,27912,0
547,RAJASTHAN,TONK,,647,627,640,633,141089,417585,29500,588174,131832,720006,9904,24317,0,34220,115,,,115,2786,1235,0,4021,1688,5662,0,7350,1100,2828,0,3928,,,,,,,,,,,,,15683,34042,0,49725,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15683,34042,0,49725,1563,3168,0,4731,14120,30874,0,44994,5458,5674,0,11132,9,27,0,36,6751,23216,82,30048,12218,28916,82,41216,87,94,0,91,5458,5674,0,11132,1903,4320,0,6222,,,,,,,0,0,0,,,,,0,0,44994,0,0,,0,,0,,,,,,,,44994,0
548,RAJASTHAN,UDAIPUR,,719,725,0,725,69678,707414,0,777092,398968,1176060,1901,19461,0,21362,746,,0,765,600,1267,0,1866,678,5307,0,5985,343,1620,0,1963,156,706,0,862,0,26,0,26,0,413,0,413,4443,28800,0,33243,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4443,28800,0,33243,412,2880,0,3292,4031,25920,0,29951,383,3590,,3973,101,1959,,2060,2712,21229,,23941,3196,26778,,29974,79,103,,100,383,3590,0,3973,931,1013,0,1944,,,,,,,0,0,0,,,,,0,0,29951,0,0,,0,,0,,,,,,,,29951,0
549,SIKKIM,Gangtok,,0,2756,0,2756,0,35500,0,35500,31697,67197,0,6676,0,6676,,,,,0,0,0,0,0,137,0,137,,3,,3,,0,,0,,,,,,,,,0,6817,0,6817,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,6817,0,6817,0,682,0,682,0,6135,0,6135,,119,,119,,6,,6,,285,,285,,410,,410,,7,,7,0,142,0,142,0,5702,0,5702,,,,,,,,,,,,,,0,0,6135,0,0,,0,,0,,,,,,,,6135,0
550,SIKKIM,Gyalsingh,,0,2042,0,2042,0,30200,0,30200,58995,89195,0,3687,0,3687,,,,,0,0,0,0,0,102,0,102,,2,,2,,,,,,,,,,,,,0,3792,0,3792,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,3792,0,3792,0,379,0,379,0,3412,0,3412,,31,,31,,0,,0,,206,,206,,238,,238,,7,,7,0,36,0,36,0,3171,0,3171,,,,,,,,,,,,,,0,0,3412,0,0,,0,,0,,,,,,,,3412,0
551,SIKKIM,Mangan,,0,2739,0,2739,0,20000,0,20000,403642,423642,0,3667,0,3667,,,,,0,0,0,0,0,41,0,41,,9,,9,,,,,,,,,,,,,0,3717,0,3717,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,3717,0,3717,0,372,0,372,0,3345,0,3345,,21,,21,,0,,0,,84,,84,,105,,105,,3,,3,0,23,0,23,0,3238,0,3238,,,,,,,,,,,,,,0,0,3345,0,0,,0,,0,,,,,,,,3345,0
552,SIKKIM,Namchi,,0,2204,0,2204,0,28000,0,28000,45130,73130,0,3478,0,3478,,,,,0,0,0,0,0,67,0,67,,1,,1,,,,,,,,,,,,,0,3546,0,3546,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,3546,0,3546,0,355,0,355,0,3191,0,3191,,61,,61,,16,,16,,136,,136,,214,,214,,7,,7,0,70,0,70,0,2969,0,2969,,,,,,,,,,,,,,0,0,3191,0,0,,0,,0,,,,,,,,3191,0
553,SIKKIM,Pakyong,,0,2756,0,2756,0,26100,0,26100,2356,28456,0,4964,0,4964,,,,,0,0,0,0,0,58,0,58,,1,,1,,,,,,,,,,,,,0,5023,0,5023,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,5023,0,5023,0,502,0,502,0,4521,0,4521,,38,,38,,61,,61,,121,,121,,220,,220,,5,,5,0,46,0,46,0,4293,0,4293,,,,,,,,,,,,,,0,0,4521,0,0,,0,,0,,,,,,,,4521,0
554,SIKKIM,Soreng,,0,2042,0,2042,0,9800,0,9800,19188,28988,0,1240,0,1240,,,,,0,0,0,0,0,31,0,31,,1,,1,,,,,,,,,,,,,0,1271,0,1271,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,1271,0,1271,0,127,0,127,0,1144,0,1144,,27,,27,,0,,0,,63,,63,,90,,90,,8,,8,0,31,0,31,0,1050,0,1050,,,,,,,,,,,,,,0,0,1144,0,0,,0,,0,,,,,,,,1144,0
555,TAMILNADU,ARIYALUR,,0,988,0,988,0,192659,0,192659,739,193398,0,19448,0,19448,9667,,0,9667,0,2100,0,2100,0,6070,0,6070,0,393,0,393,0,3364,0,3364,,,,,,,,,9667,31376,0,41042,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,9667,31376,0,41042,967,2735,0,3701,8700,28641,0,37341,,1933,,1933,,84,,84,,16088,,16088,,18106,,18106,,63,,48,0,2045,0,2045,8700,10594,0,19294,,,,,,,,,,,,,,0,0,37341,0,0,,0,,0,,,,,,,,37341,0
556,TAMILNADU,CHENGALPATTU,,0,1274,0,1274,0,242415,0,242415,20175,262590,0,22925,0,22925,83,,,83,0,27205,0,27205,0,9626,0,9626,0,4273,0,4273,0,4980,0,4980,,,,,,,,,83,69010,0,69092,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,83,69010,0,69092,8,6242,0,6250,74,62768,0,62842,,763,,763,,536,,536,,39066,,39066,,40365,,40365,,64,,64,0,1620,0,1620,74,21710,0,21784,,,,,,,,,,,,,,0,0,62842,0,0,,0,,0,,,,,,,,62842,0
557,TAMILNADU,CHENNAI,,0,1453,0,1453,0,44628,0,44628,0,44628,0,7644,0,7644,138,,0,138,0,14,0,14,0,40,0,40,0,298,0,298,0,1664,0,1664,,,,,,,,,138,9659,0,9796,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,138,9659,0,9796,14,865,0,879,124,8793,0,8917,,9340,,9340,,1345,,1345,,169,,169,,10854,,10854,,123,,122,0,9577,0,9577,124,681,0,805,,,,,,,,,,,,,,0,0,8917,0,0,,0,,0,,,,,,,,8917,0
558,TAMILNADU,COIMBATORE,,1028,967,0,972,29883,330568,0,360451,6647,367098,2483,27928,0,30411,13168,,,13168,1481,914,0,2395,0,12649,0,12649,330,0,0,330,3327,20,0,3347,,,,,,,,,20790,41510,0,62300,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,20790,41510,0,62300,2079,3936,0,6015,18711,37574,0,56285,0,1525,,1525,0,1627,,1627,0,48544,,48544,0,51696,,51696,0,138,,92,0,1892,0,1892,18711,2666,0,21377,,,,,,,,,,,,,,144962,0,201247,0,0,,0,,0,,,,,,,,201247,0
559,TAMILNADU,CUDDALORE,,0,1273,0,1273,0,363278,0,363278,1396,364674,0,58683,0,58683,3345,,0,3345,0,33627,0,33627,0,14089,0,14089,0,2137,0,2137,0,5917,0,5917,,,,,,,,,3345,114453,0,117797,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,3345,114453,0,117797,334,10519,0,10854,3010,103933,0,106944,,1780,,1780,,84,,84,,65822,,65822,,67686,,67686,,65,,63,0,3620,0,3620,3010,42991,0,46001,,,,,,,,,,,,,,0,0,106944,0,0,,0,,0,,,,,,,,106944,0
560,TAMILNADU,DHARMAPURI,,0,869,0,869,0,285600,0,285600,57399,342999,0,25096,0,25096,150,,,150,0,0,0,0,0,16861,0,16861,0,232,0,232,0,10658,0,10658,,,,,,,,,150,52847,0,52997,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,150,52847,0,52997,15,5040,0,5055,135,47807,0,47942,,763,,763,,48,,48,,42153,,42153,,42964,,42964,,90,,90,0,1716,0,1716,135,7714,0,7849,,,,,,,,,,,,,,0,0,47942,0,0,,0,,0,,,,,,,,47942,0
561,TAMILNADU,DINDIGUL,,0,854,0,854,0,487741,0,487741,138923,626664,0,25198,0,25198,5832,,,5832,0,3675,0,3675,0,21288,0,21288,0,267,0,267,0,3260,0,3260,,,,,,,,,5832,53688,0,59521,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,5832,53688,0,59521,583,5303,0,5886,5249,48385,0,53635,,1743,,1743,,430,,430,,60822,,60822,,62994,,62994,,130,,117,0,5026,0,5026,5249,3865,0,9114,,,,,,,,,,,,,,0,0,53635,0,0,,0,,0,,,,,,,,53635,0
562,TAMILNADU,ERODE,,0,713,0,713,0,346340,0,346340,1425,347765,0,17692,0,17692,14508,,0,14508,0,35349,0,35349,0,21344,0,21344,0,359,0,359,0,1862,0,1862,,,,,,,,,14508,76606,0,91114,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,14508,76606,0,91114,1451,7489,0,8939,13057,69117,0,82175,,925,,925,,1198,,1198,,60982,,60982,,63104,,63104,,91,,77,0,4262,0,4262,13057,12798,0,25855,,,,,,,,,,,,,,0,0,82175,0,0,,0,,0,,,,,,,,82175,0
563,TAMILNADU,KALLAKURICHCHI,,0,1048,0,1048,0,257923,0,257923,57622,315545,0,25911,0,25911,1151,,,1151,0,9294,0,9294,0,16763,0,16763,0,2724,0,2724,0,8872,0,8872,,,,,,,,,1151,63564,0,64715,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,1151,63564,0,64715,115,5581,0,5696,1036,57983,0,59019,,630,,630,,37,,37,,47166,,47166,,47833,,47833,,82,,81,0,1736,0,1736,1036,12272,0,13308,,,,,,,,,,,,,,0,0,59019,0,0,,0,,0,,,,,,,,59019,0
564,TAMILNADU,KANCHEEPURAM,,0,1245,0,1245,0,166794,0,166794,3685,170479,0,18510,0,18510,51,,,51,0,21673,0,21673,0,6107,0,6107,0,2812,0,2812,0,9993,0,9993,,,,,,,,,51,59096,0,59147,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,51,59096,0,59147,5,5599,0,5604,46,53497,0,53543,,324,,324,,1214,,1214,,24650,,24650,,26188,,26188,,49,,49,0,1059,0,1059,46,26836,0,26882,,,,,,,,,,,,,,0,0,53543,0,0,,0,,0,,,,,,,,53543,0
565,TAMILNADU,KANNIYAKUMARI,,0,1293,0,1293,0,113045,0,113045,4772,117817,0,10839,0,10839,11851,,,11851,0,7278,0,7278,0,823,0,823,0,942,0,942,0,4172,0,4172,,,,,,,,,11851,24054,0,35905,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,11851,24054,0,35905,1185,2405,0,3590,10666,21649,0,32315,,1051,,1051,,141,,141,,3256,,3256,,4449,,4449,,21,,14,0,1278,0,1278,10666,17066,0,27732,,,,,,,,,,,,,,76945,0,109260,0,0,,0,,0,,,,,,,,109260,0
566,TAMILNADU,KARUR,,0,645,0,645,0,283370,0,283370,6187,289557,0,13487,0,13487,6738,,,6738,0,2424,0,2424,0,8541,0,8541,0,59,0,59,0,1100,0,1100,,,,,,,,,6738,25611,0,32349,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,6738,25611,0,32349,674,2476,0,3150,6064,23135,0,29199,,525,,525,,452,,452,,29133,,29133,,30110,,30110,,130,,103,0,1259,0,1259,6064,11,0,6075,,,,,,,,,,,,,,0,0,29199,0,0,,0,,0,,,,,,,,29199,0
567,TAMILNADU,KRISHNAGIRI,,0,793,0,793,0,310361,0,310361,97195,407556,0,20711,0,20711,101,,,101,0,5852,0,5852,0,18285,0,18285,0,439,0,439,0,10433,0,10433,,,,,,,,,101,55719,0,55821,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,101,55719,0,55821,10,5339,0,5349,91,50380,0,50471,,465,,465,,764,,764,,45395,,45395,,46623,,46623,,93,,92,0,2321,0,2321,91,7317,0,7408,,,,,,,,,,,,,,4809721,0,4860192,0,0,,0,,0,,,,,,,,4860192,0
568,TAMILNADU,MADURAI,,0,867,0,867,0,325647,0,325647,36021,361668,0,26193,0,26193,9421,,,9421,0,8732,0,8732,0,17472,0,17472,0,4964,0,4964,0,11374,0,11374,,,,,,,,,9421,68736,0,75950,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,9421,68736,0,75950,721,6666,0,7388,8700,62070,0,70769,,4570,,4570,,3359,,3359,,41950,,41950,,49879,,49879,,80,,70,0,6292,0,6292,8700,13974,0,22674,,,,,,,,,,,,,,0,0,70769,0,0,,0,,0,,,,,,,,70769,0
569,TAMILNADU,MAYILADUTHURAI,,0,1360,935,1327,0,107324,8932,116256,1102,117358,0,13769,400,14169,116,,0,116,0,26605,589,27194,0,4620,51,4671,0,18,0,18,0,336,0,336,,,,,,,,,116,45348,1040,46505,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,116,45348,1040,46505,12,4535,104,4650,104,40813,936,41854,,1410,0,1410,,0,0,0,,46309,7207,53515,,47719,7207,54925,,117,770,117,0,6703,0,6703,104,2729,0,2834,,,,,,,,,,,,,,0,0,40918,936,0,,0,,0,,,,,,,,40918,936
570,TAMILNADU,NAGAPATTINAM,,0,0,1363,1363,0,0,150694,150694,3531,154225,0,0,24215,24215,,,0,0,0,0,46619,46619,0,0,923,923,0,0,0,0,0,0,0,0,,,,,,,,,0,0,71758,71758,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,0,71758,71758,0,0,7176,7176,0,0,64582,64582,,,610,610,,,3081,3081,,,27808,27808,,,31499,31499,,,49,0,0,0,610,0,0,0,47395,0,,,,,,,,,,,,,,0,0,0,64582,0,,0,,0,,,,,,,,0,64582
571,TAMILNADU,NAMAKKAL,,0,707,0,707,0,292810,0,292810,1401,294212,0,25473,0,25473,7512,,0,7512,0,3843,0,3843,0,20828,0,20828,0,512,0,512,0,0,0,0,,,,,,,,,7512,50655,0,58167,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7512,50655,0,58167,751,4983,0,5734,6761,45673,0,52434,,1044,,1044,,589,,589,,59114,,59114,,60747,,60747,,133,,116,0,2121,0,2121,6761,2221,0,8982,,,,,,,0,0,0,,,,,0,0,52434,0,0,,0,,0,,,,,,,,52434,0
572,TAMILNADU,PERAMBALUR,,0,894,0,894,0,159454,0,159454,9242,168696,0,10719,0,10719,6924,,,6924,0,0,0,0,0,8856,0,8856,0,87,0,87,0,2298,0,2298,,,,,,,,,6924,21960,0,28884,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,6924,21960,0,28884,692,2196,0,2888,6231,19764,0,25995,,505,,505,,42,,42,,26970,,26970,,27517,,27517,,139,,106,0,946,0,946,6231,1719,0,7950,,,,,,,,,,,,,,0,0,25995,0,0,,0,,0,,,,,,,,25995,0
573,TAMILNADU,PUDUKKOTTAI,,0,834,874,835,0,428031,15296,443327,7467,450794,0,32431,1712,34143,12218,,0,12218,0,24269,2614,26883,0,14030,6,14036,0,5734,451,6186,0,18211,1760,19971,,,,,,,,,12218,94676,6543,113437,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,12218,94676,6543,113437,1222,9468,654,11344,10997,85208,5889,102094,,1067,2,1069,,602,0,602,,45772,19,45791,,47441,21,47462,,56,0,49,0,2203,45,2203,10997,36703,5825,47699,,,,,,,,,,,,,,0,0,96205,5889,0,,0,,0,,,,,,,,96205,5889
574,TAMILNADU,RAMANATHAPURAM,,0,785,722,771,0,313721,95236,408957,0,408957,0,16377,5403,21780,0,,0,0,0,25133,5964,31097,0,788,395,1183,0,6442,658,7100,0,12205,0,12205,,,,,,,,,0,60945,12419,73364,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,60945,12419,73364,0,6095,1242,7336,0,54850,11177,66028,,264,68,332,,69,7,76,,5698,1596,7294,,6030,1672,7702,,11,15,11,0,1372,433,1372,0,47712,9140,47712,,,,,,,,,,,,,,0,0,54850,11177,0,,0,,0,,,,,,,,54850,11177
575,TAMILNADU,RANIPET,,0,1040,0,1040,0,175599,0,175599,2,175601,0,15092,0,15092,17,,,17,0,1405,0,1405,0,9249,0,9249,0,2849,0,2849,0,4345,0,4345,,,,,,,,,17,32939,0,32956,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,17,32939,0,32956,2,2833,0,2834,15,30107,0,30122,,1454,,1454,,1245,,1245,,22763,,22763,,25463,,25463,,85,,85,0,2341,0,2341,15,4932,0,4947,,,,,,,,,,,,,,0,0,30122,0,0,,0,,0,,,,,,,,30122,0
